"object_id0","Col","Lin","c_AWetric","c_AWMetric","c_CAMetric","c_EDMetric","c_LSMetric","c_MPetric","c_MPetri_1","c_MPMetric","c_MSMetric","c_PDMetric","c_PentLand","c_PSMetric","c_PSetric","deci_class","padrao"
"C34L12",34,12,NA,0.001059749,18.2493,0.2382932,0.06722126,0.0145612,2.493284,9.12465,1.135212,0.02,0.00182493,48.42432,4.41855,1,"difuso"
"C34L13",34,13,0.203796,0.01886415,1712.256,3.17731,0.8963025,NA,15.02798,142.688,1.196431,0.12,0.1712256,312.0991,445.3279,1,"difuso"
"C34L14",34,14,0.0481862,0.00285637,397.0576,NA,0.6667302,0.02737445,21.60865,23.35633,1.184624,0.17,0.03970576,282.9256,66.08103,1,"difuso"
"C34L15",34,15,0.09842397,0.01275931,775.1704,NA,1.285702,0.01861585,15.32291,64.59753,1.486033,0.12,0.07751704,139.719,90.25502,1,"difuso"
"C34L16",34,16,0.1622278,0.01428191,1268.16,6.875634,1.93958,0.0237652,26.82455,60.38857,NA,0.21,0.126816,280.451,169.3604,1,"difuso"
"C34L17",34,17,0.1140814,0.01738959,931.3126,3.609574,1.018242,0.03084183,10.22551,116.4141,1.425948,0.08,0.09313126,128.9155,150.0758,1,"difuso"
"C34L18",34,18,0.08708518,0.01309376,708.9179,3.067488,0.8653223,0.009860729,9.941745,88.61474,1.338078,0.08,0.07089179,149.3001,132.3019,1,"difuso"
"C34L19",34,19,0.2283542,0.07001948,1894.638,3.615839,1.020009,0.006604236,4.891156,473.6596,1.346781,0.04,0.1894638,92.99806,440.4942,2,"geometrico"
"C34L20",34,20,0.2784573,0.05882053,2259.666,5.332927,1.504391,0.02272853,8.79448,322.8094,1.379883,0.07,0.2259666,159.2914,514.2075,2,"geometrico"
"C34L21",34,21,0.2232495,0.0315205,1777.053,6.109389,1.723427,0.03142307,15.5467,148.0878,1.509131,0.12,0.1777053,195.3297,289.2593,3,"linear"
"C34L22",34,22,0.4074112,0.04479867,3312.789,8.688591,2.451006,0.006096619,15.98228,254.8299,1.376394,0.13,0.3312789,177.364,451.9766,2,"geometrico"
"C34L23",34,23,0.6603881,0.3040323,4996.822,12.84744,3.624195,0.02922092,10.33642,624.6027,1.672153,0.08,0.4996822,262.2064,1637.748,4,"multidirecional"
"C34L24",34,24,0.7087865,0.1689041,5390.31,15.72142,4.434932,0.06043436,18.51696,385.0222,1.655784,0.14,0.539031,305.4356,1175.995,4,"multidirecional"
"C34L25",34,25,0.5968084,0.09094436,4659.155,12.18755,3.438043,0.02259531,20.48679,NA,1.510098,0.16,NA,297.6425,866.7267,4,"multidirecional"
"C34L26",34,26,0.3843,0.04346167,2970.288,13.53094,3.817007,0.01718822,26.68642,NA,1.566494,0.21,0.2970288,219.7745,310.8541,4,"multidirecional"
"C34L27",34,27,0.1371662,NA,1081.42,7.22626,2.03849,0.031795,32.1739,43.25678,1.39289,0.25,0.108142,161.6013,69.90352,1,"difuso"
"C34L28",34,28,0.05247109,NA,408.5677,2.897875,0.8174755,0.02246091,10.20505,51.07097,1.466845,0.08,0.04085677,149.2335,76.21499,1,"difuso"
"C34L29",34,29,0.01004007,0.001996194,80.87527,0.8202563,0.23139,0.01520795,6.286687,16.17505,1.246366,0.05,0.008087527,61.72429,9.983936,1,"difuso"
"C34L30",34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C34L31",34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L00",35,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,"floresta"
"C35L01",35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L02",35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L03",35,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L04",35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L05",35,5,0.000582254,0.000482871,4.693376,0.07901202,0.02228888,0.01683479,1.240588,4.693376,1.028835,0.01,0.000469338,0,0,1,"difuso"
"C35L06",35,6,0.000104999,4.49e-05,NA,0.04283571,0.01208373,0.2161488,2.951172,0.3992118,1.344954,0.02,7.98e-05,94.78381,0.3783882,1,"difuso"
"C35L07",35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L08",35,8,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,"floresta"
"C35L09",35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L10",35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L11",35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L12",35,12,0.0253508,0.009147254,208.9071,0.7727464,0.2179877,0.04155175,3.841569,69.6357,1.180565,0.03,0.02089071,135.7816,94.55247,1,"difuso"
"C35L13",35,13,0.008989637,0.000780671,71.53812,1.122657,0.3166957,0.01950038,13.88821,6.503465,1.172442,0.11,0.007153812,63.39721,4.123015,1,"difuso"
"C35L14",35,14,0.0276766,0.000966175,220.4261,3.061694,0.8636878,0.02491876,36.807,7.600901,1.175924,0.29,0.02204261,104.5564,NA,1,"difuso"
"C35L15",35,15,0.1093885,0.005863608,879.424,5.114846,1.442871,0.02491865,30.51415,36.64267,1.269981,0.24,0.0879424,231.3262,84.76408,1,"difuso"
"C35L16",35,16,0.131126,0.006866519,1032.193,7.340671,2.070765,0.04128736,37.73004,35.59287,1.402218,0.29,0.1032193,168.5375,59.98732,1,"difuso"
"C35L17",35,17,0.2818568,0.02992011,2239.751,8.63203,2.435051,0.02183161,20.61903,NA,1.610936,0.16,0.2239751,192.6488,269.6783,3,"linear"
"C35L18",35,18,0.08282703,0.01150001,662.5379,3.42724,0.9668066,0.02007473,12.5967,66.25379,1.32789,0.1,0.06625379,150.7883,99.90296,1,"difuso"
"C35L19",35,19,0.2875148,0.05410808,2370.268,4.326039,1.220353,0.05025332,9.110057,338.6098,1.32764,0.07,0.2370268,157.3876,532.9299,2,"geometrico"
"C35L20",35,20,0.6211267,0.1509499,5047.335,7.215758,2.035528,0.01294998,8.795301,721.0478,1.480082,0.07,0.5047335,212.0188,1528.757,2,"geometrico"
"C35L21",35,21,0.4233496,0.08184267,3430.385,7.798168,2.199823,0.0061925,9.903003,428.7982,1.522479,0.08,0.3430385,162.7931,698.0538,2,"geometrico"
"C35L22",35,22,0.4268129,0.1214653,3343.798,9.37686,2.645163,0.02409542,10.26444,417.9747,1.713094,0.08,NA,178.4229,745.7626,2,"geometrico"
"C35L23",35,23,0.6459898,0.1932243,4924.454,NA,4.114906,0.01911693,NA,447.6776,1.733141,0.11,0.4924454,266.9177,1194.931,4,"multidirecional"
"C35L24",35,24,0.6522134,0.06791795,5073.352,14.68047,4.141284,0.03021572,30.97218,211.3897,1.459829,0.24,0.5073352,341.7221,722.3652,4,"multidirecional"
"C35L25",35,25,0.7617725,0.1639303,5803.583,17.34442,4.892771,0.03083214,19.4533,386.9055,1.695182,0.15,0.5803583,290.597,1124.336,4,"multidirecional"
"C35L26",35,26,0.511392,0.05236139,3918.224,16.8557,4.754904,0.0162592,33.17721,150.7009,1.59513,0.26,0.3918224,284.8184,429.224,4,"multidirecional"
"C35L27",35,27,0.1798019,0.01207641,1395.236,9.527797,2.687742,0.03369315,34.84336,51.67539,1.481222,0.27,0.1395236,188.5867,97.4529,1,"difuso"
"C35L28",35,28,0.03748838,0.01936676,295.3871,1.599486,0.4512067,0.0152856,3.828636,98.46235,1.608913,0.03,0.02953871,102.2988,100.7258,3,"linear"
"C35L29",35,29,0.000564068,0.000559303,4.401534,0.09450391,0.02665906,0.02147068,1.281526,4.401534,1.270699,0.01,0.000440153,1.7e-14,1e-15,1,"difuso"
"C35L30",35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C35L31",35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L00",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L01",36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L02",36,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L03",36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L04",36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L05",36,5,0.003044199,0.002759179,24.9561,0.1957927,0.05523209,0.007845483,1.219822,24.9561,1.105613,0.01,0.00249561,1.2e-14,3e-15,1,"difuso"
"C36L06",36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L07",36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L08",36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L09",36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L10",36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L11",36,11,0.009256281,0.000828458,NA,1.166283,0.3290023,0.02005529,13.93019,6.667036,1.195748,0.11,0.00733374,56.69574,3.779925,1,"difuso"
"C36L12",36,12,0.02276518,0.005886782,186.4944,1.009914,0.2848914,0.01266945,4.948583,46.6236,1.181205,0.04,0.01864944,105.2265,49.0604,1,"difuso"
"C36L13",36,13,0.001243529,0.00036017,9.92063,0.1972363,0.05563934,0.03642849,3.88011,NA,1.185659,0.03,0.000992063,72.55364,2.399259,1,"difuso"
"C36L14",36,14,0.05435741,0.006068257,441.584,2.073423,0.5849018,0.02378025,13.87943,40.144,1.172716,0.11,0.0441584,257.3765,103.3212,1,"difuso"
"C36L15",36,15,0.2118534,0.01269483,1697.544,6.599181,1.861594,0.03366673,32.15785,67.90175,1.276057,0.25,0.1697544,265.9468,180.5825,1,"difuso"
"C36L16",36,16,0.2010896,0.007452752,1602.106,9.900868,2.792983,0.06304811,47.97868,43.30015,1.33015,0.37,0.1602106,200.2868,86.7245,1,"difuso"
"C36L17",36,17,0.09656991,0.009973994,765.7781,4.399887,1.241185,0.8371247,20.68205,54.69844,2.15463,0.14,0.07657781,168.035,91.91249,1,"difuso"
"C36L18",36,18,0.2008178,0.05935171,1626.874,4.447816,1.254706,0.05215838,6.6526,325.3747,2.127487,0.05,0.1626874,136.4509,443.9768,2,"geometrico"
"C36L19",36,19,0.5227986,0.04264547,4214.331,11.54223,3.256002,0.02255899,25.35754,210.7166,1.407229,0.2,0.4214331,206.5312,435.1953,2,"geometrico"
"C36L20",36,20,0.529812,0.07104451,4163.695,10.63746,3.000772,0.02257341,21.59993,NA,1.402603,0.17,0.4163695,332.2848,813.8428,2,"geometrico"
"C36L21",36,21,0.5169878,0.1046377,4119.236,7.872078,2.220672,0.02710173,12.93869,411.9236,1.581759,0.1,0.4119236,280.7469,1156.463,2,"geometrico"
"C36L22",36,22,0.1911304,0.02507213,1514.499,7.151876,2.017507,0.01422807,15.31685,126.2083,1.690909,0.12,0.1514499,110.7277,139.7475,3,"linear"
"C36L23",36,23,0.5958466,0.04137431,4748.25,NA,3.96147,0.0364805,32.3075,189.93,1.419205,0.25,0.474825,201.0815,381.914,4,"multidirecional"
"C36L24",36,24,0.8504782,0.2135776,6436.629,17.39906,4.908185,0.02832764,19.45336,429.1086,1.67474,0.15,0.6436629,348.8476,NA,4,"multidirecional"
"C36L25",36,25,0.8033255,0.3102174,6062.835,16.52482,4.661565,0.1617576,13.9215,606.2835,1.906198,0.1,0.6062835,283.565,1719.208,4,"multidirecional"
"C36L26",36,26,0.6901114,0.06743391,5364.344,18.63353,5.256423,0.214566,34.35995,214.5738,1.665554,0.25,0.5364344,271.7339,583.0696,4,"multidirecional"
"C36L27",36,27,0.2213579,0.02421072,1758.236,6.982831,NA,0.03527194,19.44754,117.2158,1.464218,0.15,0.1758236,174.9603,205.081,1,"difuso"
"C36L28",36,28,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,"floresta"
"C36L29",36,29,0.005163923,0.004682981,42.6951,0.2540612,0.07166933,0.005950593,1.209488,42.6951,1.096843,0.01,0.00426951,1.4e-14,6e-15,1,"difuso"
"C36L30",36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C36L31",36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L00",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L01",37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L02",37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L03",37,3,0.002947212,0.003327745,23.3523,0.2441126,0.06886289,0.01045347,1.262065,23.3523,1.425018,0.01,0.00233523,0,0,1,"difuso"
